ID,Date,Time,N_Birds,Species,P_flock,Size,E_height,E-distance,B_distance,B_angle,C_height,Position,Side,Weather,Observer,Obs_alt
730,22/10/2020,17:12:00,1,NA,NA,L,80,150,155,32,above,4,left,C,Sri,83.16
731,22/10/2020,17:15:00,1,NA,NA,L,55,200,105,24,above,8,right,C,Sri,83.16
732,22/10/2020,17:15:00,2,NA,first,L,75,90,103,72,above,3,right,C,Sri,83.16
733,22/10/2020,17:15:00,14,NA,first,L,70,120,81,71,above,2,right,C,Sri,83.16
734,22/10/2020,17:23:00,6,NA,last,L,75,150,96,44,above,5,right,C,Sri,83.16
735,22/10/2020,17:26:00,4,NA,first,S,70,150,NA,NA,above,5,right,C,Sri,83.16
736,22/10/2020,17:29:00,1,NA,NA,M,27,100,NA,NA,middle,5,left,C,Sri,83.16
737,22/10/2020,17:30:00,1,NA,NA,S,25,100,57,23,middle,6,right,C,Sri,83.16
738,22/10/2020,17:31:00,38,NA,first,L,85,200,381,18,above,7,left,C,Sri,83.16
739,22/10/2020,17:32:00,3,NA,last,L,85,200,277,17,above,8,right,C,Sri,83.16
740,22/10/2020,17:32:00,1,NA,NA,M,27,50,NA,NA,middle,4,left,C,Sri,83.16
741,22/10/2020,17:33:00,2,NA,first,L,85,250,255,21,above,8,left,C,Sri,83.16
742,22/10/2020,17:35:00,1,NA,NA,L,70,250,230,18,above,8,left,C,Sri,83.16
743,22/10/2020,17:37:00,8,NA,last,L,80,150,NA,NA,above,7,right,C,Sri,83.16
744,22/10/2020,17:37:00,1,NA,NA,L,70,200,149,32,above,8,right,C,Sri,83.16
745,22/10/2020,17:38:00,3,NA,first,L,70,130,133,34,above,4,right,C,Sri,83.16
746,22/10/2020,17:38:00,2,NA,first,L,70,125,149,35,above,3,right,C,Sri,83.16
747,22/10/2020,17:39:00,>50,NA,last,L,75,250,NA,NA,above,9,right,C,Sri,83.16
748,22/10/2020,17:40:00,3,NA,first,L,80,100,118,67,above,6,right,C,Sri,83.16
749,22/10/2020,17:45:00,>50,NA,first,L,85,300,339,16,above,10,right,C,Sri,83.16
750,22/10/2020,17:47:00,1,NA,NA,M,27,300,NA,NA,middle,9,left,C,Sri,83.16
751,22/10/2020,17:47:00,1,NA,NA,M,17,300,NA,NA,under,9,left,C,Sri,83.16
752,22/10/2020,17:59:00,1,crow,NA,M,13,300,288,3,under,10,right,D,Sri,83.16
753,22/10/2020,18:00:00,1,crow,NA,M,43,70,61,40,above,1,NA,D,Sri,83.16
754,22/10/2020,18:02:00,1,NA,NA,M,26,200,50,21,middle,7,left,D,Sri,83.16
755,22/10/2020,18:05:00,1,NA,NA,L,75,150,NA,NA,above,6,left,D,Sri,83.16
756,22/10/2020,18:13:00,1,crow,NA,M,42,60,53,34,above,1,NA,D,Sri,83.16
757,22/10/2020,18:16:00,2,crow,first,M,42,60,80,33,above,1,NA,D,Sri,83.16
758,22/10/2020,18:17:00,1,crow,NA,M,31,50,29,53,middle,1,NA,D,Sri,83.16
759,22/10/2020,18:18:00,1,crow,NA,M,25,40,36,31,middle,1,NA,D,Sri,83.16
760,22/10/2020,18:19:00,1,crow,NA,M,26,350,NA,NA,middle,10,left,D,Sri,83.16
761,22/10/2020,18:28:00,5,NA,first,L,50,90,NA,NA,above,3,left,D,Sri,83.16
762,22/10/2020,18:43:00,>100,NA,first,L,95,120,216,35,above,1,NA,D,Sri,83.16
763,20/11/2020,08:44:00,1,NA,NA,L,40,100,110,35,above,6,right,C,Sri,83.16
764,20/11/2020,08:46:00,>50,NA,top,L,43,200,188,15,above,8,right,C,Sri,83.16
765,20/11/2020,08:48:00,>20,NA,last,L,44,300,236,10,above,10,right,C,Sri,83.16
766,20/11/2020,08:48:00,>15,NA,last,L,45,300,NA,NA,above,10,right,C,Sri,83.16
767,20/11/2020,08:55:00,1,NA,NA,L,50,150,NA,NA,above,7,right,F,Sri,83.16
768,20/11/2020,08:59:00,1,NA,NA,L,42,200,NA,NA,above,8,right,F,Sri,83.16
769,20/11/2020,09:03:00,5,NA,last,M,40,250,NA,NA,above,9,right,F,Sri,83.16
770,20/11/2020,09:04:00,2,NA,last,S,27,55,NA,NA,middle,5,right,F,Sri,83.16
771,20/11/2020,09:05:00,2,NA,last,M,40,250,NA,NA,above,9,right,F,Sri,83.16
772,20/11/2020,09:09:00,1,NA,NA,M,25,250,NA,NA,middle,9,right,F,Sri,83.16
773,20/11/2020,09:11:00,1,NA,NA,L,57,150,NA,NA,above,7,right,F,Sri,83.16
774,20/11/2020,09:23:00,1,NA,NA,L,53,150,97,22,above,7,right,F,Sri,83.16
775,20/11/2020,09:23:00,2,NA,last,L,55,35,NA,NA,above,2,left,F,Sri,83.16
776,20/11/2020,09:34:00,1,NA,NA,L,45,200,136,16,above,8,right,F,Sri,83.16
777,26/11/2020,08:02:28,1,NA,NA,L,50,50,239,11,above,3,left,S,Sri,83.16
778,26/11/2020,08:03:20,>20,NA,last,L,52,300,241,11,above,10,right,S,Sri,83.16
779,26/11/2020,08:04:55,1,NA,NA,L,47,100,NA,NA,above,5,left,S,Sri,83.16
780,26/11/2020,08:05:37,2,NA,NA,M,28,250,NA,NA,middle,9,right,S,Sri,83.16
781,26/11/2020,08:08:45,3,NA,NA,S,46,30,NA,NA,above,4,right,S,Sri,83.16
782,26/11/2020,08:10:09,1,NA,NA,M,26,100,66,14,middle,6,right,S,Sri,83.16
783,26/11/2020,08:10:43,1,NA,NA,M,28,50,37,33,middle,5,right,S,Sri,83.16
784,26/11/2020,08:11:19,2,NA,NA,M,50,100,NA,NA,middle,6,right,S,Sri,83.16
785,26/11/2020,08:11:34,5,NA,NA,M,18,100,NA,NA,under,6,right,S,Sri,83.16
786,26/11/2020,08:11:43,6,NA,NA,M,19,100,NA,NA,under,6,right,S,Sri,83.16
787,26/11/2020,08:12:13,2,NA,NA,M,25,100,NA,NA,middle,6,right,S,Sri,83.16
788,26/11/2020,08:12:40,1,NA,NA,M,25,50,48,28,middle,5,right,S,Sri,83.16
789,26/11/2020,08:12:48,1,NA,NA,M,27,200,NA,NA,middle,7,left,S,Sri,83.16
790,26/11/2020,08:13:28,1,NA,NA,M,26,150,66,19,middle,7,right,S,Sri,83.16
